coursecode,coursename,gsc,credits,tag,crn,avail_seats,max_seats,time,day,location,instructor,notes
GEOL 503,Thesis,,1.00-16.00 cr.,,12617,20,20,tba,tba,tba,STAFF,
CH 401,Res Synth of React Mol,,1.00-16.00 cr.,,11345,6,7,tba,tba,tba,Haley M,k
ARH 510,Romanticism,,4.00 cr.,,16662,9,10,0830-0950,tr,241 LA,Amstutz N,
FIN 464,Commercial Banking,,4.00 cr.,,12372,0,47,1400-1550,mw,232 LIL,Moulton J,!AM
BI 607,Sem Plankton Jour Club,,1.00 cr.,,11190,20,20,1500-1550,m,217 LISB,Sutherland K,
ENVS 345,Environmental Ethics,1,4.00 cr.,+ Dis,12180,0,20,1200-1250,f,195 ANS,tba,
CPSY 607,Sem Doc Res Dev Psych,,1.00-5.00 cr.,,11687,8,9,1000-1150,f,258 HED,Stormshak B,M
EDST 440,PE for Diverse Learner,,3.00 cr.,,12006,0,48,1500-1750,f,TBA,James F,!ev
AEIS 102,Adv Academic Oral Comm,,4.00 cr.,,15972,0,18,1400-1550,tr,107 PETR,Davy B,!Aa
AAD 601,Research,,1.00-6.00 cr.,,10084,20,20,tba,tba,tba,STAFF,
HIST 469,Top Indian Removal,IP,4.00 cr.,,16534,18,30,1400-1550,tr,175 LIL,Ostler J,
EDST 609,Practicum,,1.00-16.00 cr.,,12027,12,12,tba,tba,tba,Heffernan J,
ARTD 350,Digital Drawing,,4.00 cr.,,10677,1,18,1500-1750,mw,283M LA,Ching I,!$AM
CPSY 410,Positive Psychology,,2.00 cr.,,11679,44,54,1200-1350,t,146 HED,Farrar J,
INTL 260,Cul| Capital| & Global,2 IC,4.00 cr.,+ Dis,13060,31,31,1000-1050,f,301 GER,tba,
FHS 407,Sem Early Chld Serv,,2.00 cr.,,16640,25,25,1600-1750,m,193 ANS,Van Norman R,y
BI 401,Res Photo Micro Ecol,,1.00-16.00 cr.,,11036,10,10,tba,tba,tba,Castenholz R,
ARTS 288,Sculpt I: Mixed Media,,4.00 cr.,,10821,4,15,1200-1450,mw,104A ART,Hampton M,!$ABM
GEOL 308,Oregon & Pacific NW,3,4.00 cr.,,12590,0,60,tba,,WEB,Tozer C,
ANTH 223,Anthropol of Chocolate,2 IC,4.00 cr.,,16358,0,35,1400-1520,mw,104 CON,tba,
CINE 408,Wrk LIght Aesthetics,,4.00 cr.,,11505,0,24,1000-1150,tr,267 LIB,May K,!AGe
CHN 399,Sp St CHNF Intensive,,5.00 cr.,+ Dis,16867,12,14,1300-1350,f,110 PAC,tba,
FIN 311,Ec Found Compet Analy,,4.00 cr.,,12356,23,75,1200-1350,tr,101 LIB,Ellis J,AMbY
HIST 104,World History,2 IC,4.00 cr.,+ Dis,12782,14,25,1100-1150,r,125 LLCN,tba,
BI 601,Res Evol Genetics,,1.00-16.00 cr.,,11161,10,10,tba,tba,tba,Cresko B,
CIS 420,Automata Theory,,4.00 cr.,,11582,11,30,1300-1350,mwf,107 ESL,Wilson C,!
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,17152,23,25,1200-1250,r,117 FEN,tba,A
HPHY 362,Tissue Injury & Repair,,4.00 cr.,+ Lab,12926,0,22,1000-1150,t,6 SRC,tba,M
ARCH 507,Sem Hi-Perf Bldg Facad,,4.00 cr.,,10449,0,12,1000-1150,tr,278 LA,Elzeyadi I,!Mj
HIST 201,Inventing America,2 AC,4.00 cr.,+ Dis,12808,12,23,1400-1450,r,373 MCK,tba,
HUM 101,Humanities I,1,4.00 cr.,+ Dis,12994,14,24,1000-1050,f,373 MCK,Eichler L,
EDST 642,Pedagogy Humanities,,4.00 cr.,,12039,18,25,1100-1450,w,276 ED,tba,M
HIST 404,Internship,,1.00-3.00 cr.,,12824,15,15,tba,tba,tba,STAFF,
BE 610,Business Law & Ethics,,3.00 cr.,,10926,13,60,1200-1320,mw,232 LIL,Crider K,M
ENG 690,Intro Grad Studies Eng,,5.00 cr.,,16970,7,14,1200-1350,mw,253 PLC,Laskaya A,M
GEOL 405,Reading,,1.00 cr.,,12605,25,25,tba,tba,tba,STAFF,
ARH 604,Internship,,1.00-9.00 cr.,,10591,10,10,tba,tba,tba,STAFF,
GEOG 142,Human Geography,2 IC,4.00 cr.,+ Dis,12477,10,23,1400-1450,r,106 CON,tba,
GEOG 581,GIScience I,,4.00 cr.,+ Lab,12534,0,0,1000-1150,t,445 MCK,tba,
AAAP 606,Special Problems,,1.00-6.00 cr.,,10040,15,15,tba,tba,tba,STAFF,
FLR 606,Field Studies,,1.00-6.00 cr.,,12414,10,10,tba,tba,tba,STAFF,
CIS 507,Sem Prog Competition,,1.00-2.00 cr.,,11589,4,5,1700-1820,m,200 DES,Wilson C,M
CLAS 110,Classical Mythology,1 IP,4.00 cr.,+ Dis,11625,10,25,1300-1350,r,306 DEA,tba,
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,Lecture,12572,55,196,1400-1520,tr,177 LA,Johnston D,Y
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12889,9,20,1600-1750,w,053 KLA,tba,b
BI 603,Dissertation,,1.00-16.00 cr.,,11175,10,10,tba,,OIMB,STAFF,
EDUC 612,Social Sci Res Design,,4.00 cr.,,12044,21,25,1500-1750,m,116 ED,Van Ryzin M,
GEOL 310,Earth Resource & Envir,3,4.00 cr.,,16013,52,100,1300-1350,mwf,240C MCK,Blackwell D,
CDS 656,Voice Sci & Disorders,,3.00 cr.,,11234,30,30,0830-0950,tr,146 HED,Shune S,L
DAN 508,Wrk Rehearsal & Perf,,1.00-3.00 cr.,,11787,25,25,1600-1750,mtwrf,353 GRX,Chatfield S,!b
BA 240,Managing Business Info,,4.00 cr.,Lecture,10876,117,220,tba,,WEB,Ford E,AW
ARTR 346,Relief,,4.00 cr.,,10803,4,16,0800-1050,tr,156 LA,Liu C,!$AM
ART 115,Surface| Space| & Time,,4.00 cr.,+ Lab,10609,8,18,1000-1150,tr,197 LA,Kolosowsky N,AMb
HPHY 333,Motor Control,,4.00 cr.,+ Lab,12917,0,16,1000-1150,r,075B KLA,tba,M
ARTM 490,Iss & Prac in Metals,,3.00 cr.,,16978,8,8,1200-1450,r,105B ART,tba,!$AM
INTL 655,Intl Grad Core Seminar,,4.00 cr.,,16893,13,16,1400-1750,m,348 PLC,Hindery D,Mb
BA 399,Sp St Transfer Seminar,,1.00 cr.,,10910,25,30,0900-0950,t,121 MCK,Coe J,!
HIST 419,Top Colonial S Africa,,4.00 cr.,,16523,21,30,1400-1520,mw,189 PLC,Braun L,
GER 503,Thesis,,1.00-16.00 cr.,,12680,10,10,tba,tba,tba,STAFF,
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11271,0,0,1200-1450,t,115 KLA,Greenbowe T,A
BA 215,Lang of Bus Decision,,4.00 cr.,,10874,49,60,0800-0950,tr,132 LIL,Darling B,!ANY
BI 610,Adv Biol Statistics,,4.00 cr.,,11197,30,32,1000-1150,mw,142 COL,Cresko B,L
FIN 406,Sp Pr Cred Fin Grp II,,1.00 cr.,,16470,10,10,1500-1650,f 10/31-12/04,285 LIL,Moulton J,PV
DANC 375,Jazz III,,1.00 cr.,,11839,30,35,1200-1250,tr,354 GRX,tba,!$Aa
ANTH 572,Primate Conserv Biol,,4.00 cr.,,16372,3,5,1500-1620,tr,330 CON,Ting N,
GEOG 141,Natural Environment,3,4.00 cr.,+ Dis,12467,16,23,1000-1050,r,206 CON,tba,
CH 605,Reading,,1.00-16.00 cr.,,11433,5,5,tba,tba,tba,STAFF,
CPSY 601,Research,,1.00-16.00 cr.,,11682,18,20,tba,tba,tba,STAFF,M
ANTH 163,Origin of Storytelling,3 IC,4.00 cr.,+ Dis,16111,6,15,1600-1650,m,204 CON,tba,U
COLT 503,Thesis,,1.00-16.00 cr.,,11660,10,10,tba,tba,tba,STAFF,M
EDLD 405,Read Und Res Fellowshp,,1.00-4.00 cr.,,11958,10,10,tba,tba,tba,Kameenui E,a
ARCH 584,Arch Design,,6.00 cr.,,10490,17,17,1300-1650,mwf,TBA,tba,!$M
BI 401,Res Phyto Eco Ocean,,1.00-16.00 cr.,,11050,10,10,tba,tba,tba,Wood M,
ARH 406,Field Studies,,1.00-5.00 cr.,,10574,10,10,tba,tba,tba,STAFF,
ARTD 409,Term Creativ Proj BFA,,1.00-12.00 cr.,,10694,60,60,tba,tba,tba,STAFF,$
HIST 190,Found E Asian Civiliz,2 IC,4.00 cr.,+ Dis,12797,20,25,1400-1450,r,471 MCK,tba,
DAN 251,Looking at Dance,1,4.00 cr.,,11753,38,60,1000-1150,tr,178 MUS,Ebert S,A
ENVS 603,Dissertation,,1.00-16.00 cr.,,12201,12,15,tba,tba,tba,STAFF,
CIS 122,Intro Prg & Prob Solv,4,4.00 cr.,+ Lab,11534,7,20,1500-1550,r,026 KLA,tba,
ENG 107,World Literature,1 IC,4.00 cr.,,12059,0,12,1000-1120,tr,191 ANS,Shankman S,U
ANTH 175,Evolutionary Medicine,3,4.00 cr.,+ Lab,10258,0,15,1200-1250,r,330 CON,tba,
DAN 406,Special Problems,,1.00-21.00 cr.,,11769,15,15,tba,tba,tba,STAFF,
ANTH 610,Grad Training & Prac,,2.00 cr.,,10342,8,10,1400-1550,w,313 CON,Baxter D,
BI 601,Res Evol Genetics,,1.00-16.00 cr.,,11150,5,5,tba,tba,tba,Phillips P,
ES 404,Internship,,1.00-12.00 cr.,,12224,10,10,tba,tba,tba,STAFF,
FIN 281,Personal Finance,,4.00 cr.,,12354,70,92,1400-1550,tr,128 CHI,Darling B,!kM
GER 401,Research,,1.00-16.00 cr.,,12673,10,10,tba,tba,tba,STAFF,
CIS 610,Data Science,,4.00 cr.,,16659,13,18,1200-1320,tr,200 DES,Dou D,
HPHY 510,Neonatal Neural Devel,,4.00 cr.,,16570,2,2,0800-0950,tr,166 LA,Huxtable A,
GEOG 181,Our Digital Earth,2,4.00 cr.,+ Lab,12486,21,24,1300-1350,r,442 MCK,tba,U
BA 318,Fin: Valu thru Capital,,4.00 cr.,,10897,32,60,1400-1550,mw,132 LIL,tba,!ANd
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10954,4,22,1100-1250,w,111 HUE,tba,a
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10967,0,24,1000-1150,r,129 HUE,tba,a
EDLD 610,Soc & Cult Fdns of Edu,,4.00 cr.,,11976,18,24,1600-1950,m,WEB,Umansky I,
CH 601,Res Synth of React Mol,,1.00-16.00 cr.,,11407,10,10,tba,tba,tba,Haley M,k
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,+ Lab,10237,7,15,1000-1050,f,368 CON,tba,
CIS 415,Operating Systems,,4.00 cr.,Lecture,11578,16,75,1400-1520,tr,242 GER,Sventek J,!L
ENVS 203,Intro Env Stu: Hum,1,4.00 cr.,+ Dis,12167,11,24,1300-1350,f,101 PETR,tba,A
BI 601,Res Marine Biology,,1.00-16.00 cr.,,11148,10,10,tba,,OIMB,Shanks A,
CHN 525,Iss Mod Chinese Lit,,4.00 cr.,,16089,2,5,1600-1850,t,45 COL,Groppe A,
ARCH 605,Reading,,1.00-6.00 cr.,,10508,10,10,tba,tba,tba,STAFF,
ARTM 401,Research,,1.00-12.00 cr.,,10735,10,10,tba,tba,tba,STAFF,$
ARCH 440,Human Context of Des,,4.00 cr.,,10400,6,6,0900-1150,f,WSB,Huggins Y,!Mp
CIS 441,Intro Comput Graphics,,4.00 cr.,,16657,0,30,1200-1250,mwf,248 GER,Childs H,!L
ARTM 257,Intro Jewel & Metals,,4.00 cr.,,10733,8,18,1200-1450,mw,101C ART,Kivarkis A,!$ABM
INTL 345,Africa Today: Iss/Conc,IC,4.00 cr.,,13068,24,60,1000-1150,tr,276 ED,Wooten S,U
EDLD 607,Sem Research Write I,,1.00 cr.,,11971,16,20,1600-1650,r,WEB,Smith J,M
CIS 110,Fluency with Info Tech,3,4.00 cr.,+ Lab,11515,0,32,1000-1050,r,026 KLA,tba,
DANC 399,Sp St Salsa II,,1.00 cr.,,11840,54,60,2000-2050,tr,350 GRX,Moses F,!$Aa
ANTH 270,Intro Biological Anth,3,4.00 cr.,+ Lab,10270,11,20,1200-1250,t,368 CON,tba,
ART 601,Research,,1.00-12.00 cr.,,10634,10,10,tba,tba,tba,STAFF,$
CH 337,Organic Chemistry Lab,,3.00 cr.,+ Lab,11326,10,39,1700-1950,t,45 KLA,Koscho M,A
AAA 199,Sp St Create Change,,4.00 cr.,,16850,22,23,1200-1450,tr,197 LA,Swanson J,EJ
AAD 251,Arts & Visual Literacy,1 IP,4.00 cr.,,10056,0,40,tba,,WEB,Bretz D,W
CIS 111,Intro Web Programming,4,4.00 cr.,+ Lab,11520,12,27,1600-1650,t,026 KLA,tba,
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12255,0,10,0900-0950,t,206 DEA,Cronce J,M
INTL 240,Persp Intl Development,2 IC,4.00 cr.,+ Dis,13048,20,28,0900-0950,f,123 MCK,tba,
EC 313,Interm Macroec Theory,,4.00 cr.,,11901,82,90,0800-0950,mw,101 JAQ,Wheeler W,!G
EDLD 601,Research,,1.00-16.00 cr.,,11961,25,25,tba,tba,tba,STAFF,a
ENG 265,Hist of Motion Picture,1,4.00 cr.,+ Dis,12084,0,0,0800-0850,f,260 CON,tba,
CH 613,Top Magnetic Resonance,,4.00 cr.,,16415,40,40,0830-0950,mw,331 KLA,De Rose V,
ARTF 404,Internship,,1.00-12.00 cr.,,10721,10,10,tba,tba,tba,STAFF,
GEOG 594,Spatial Analysis,,4.00 cr.,Lecture,16765,3,5,1000-1050,tr,260 CON,Bone C,!
ARTD 401,Research,,1.00-12.00 cr.,,10686,10,10,tba,tba,tba,STAFF,$
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12883,0,20,1200-1350,t,053 KLA,tba,b
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11892,40,48,0900-0950,f,105 ESL,tba,
ACTG 606,Special Problems,,1.00-16.00 cr.,,10131,20,20,tba,tba,tba,STAFF,p
IARC 601,Research,,1.00-6.00 cr.,,13027,10,10,tba,tba,tba,STAFF,
HIST 461,American Medical Hist,,4.00 cr.,,16961,21,30,1200-1320,mw,214 MCK,Mohr J,
CH 237,Adv Gen Chemistry Lab,,2.00 cr.,+ Lab,11316,10,10,1600-1850,t,169 ONY,Nell B,A
ASIA 401,Research,,1.00-5.00 cr.,,10842,10,10,tba,tba,tba,STAFF,
CRWR 609,Top Term Creative Proj,,1.00-16.00 cr.,,11749,18,20,tba,tba,tba,STAFF,AbM
GEOL 363,MATLAB for Earth Sci,,2.00 cr.,,12600,5,18,1200-1350,t,101 CAS,Carroll D,!
ARCH 507,Sem Thesis Design Prep,,3.00 cr.,,10446,20,20,0900-1150,t,WSB,Gast G,Mp
AAD 252,Art & Gender,1 IP,4.00 cr.,,10058,57,80,0800-0950,mw,240C MCK,Voelker-Morris J,U
INTL 240,Persp Intl Development,2 IC,4.00 cr.,+ Dis,13052,20,22,1300-1350,f,30 PAC,tba,U
EDLD 602,Superv College Teach,,1.00-5.00 cr.,,11962,10,10,tba,tba,tba,STAFF,a
CH 341,Majr Trk Org Chem I,,4.00 cr.,+ Dis,11339,6,12,1600-1750,r,171 ONY,Koscho M,M
HPHY 409,Prac Pre-Occup Ther,,1.00-4.00 cr.,,12938,25,25,tba,tba,tba,Runyeon J,M
BI 601,Res Bioenergetics,,1.00-16.00 cr.,,11131,10,10,tba,tba,tba,Capaldi R,
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10214,4,15,1200-1250,f,260 CON,tba,
BE 325,Glob/Legal/Soc Env Bus,,4.00 cr.,,10917,4,91,1000-1150,tr,128 CHI,Malekafzali F,AM
HPHY 212,Evid| Infer| & Biostat,,4.00 cr.,+ Dis,12875,4,20,1300-1350,w,B012 ONY,tba,B
COLT 211,Comparative World Lit,1 IC,4.00 cr.,,11640,0,30,1200-1350,mw,300 VIL,Kovalchuk A,
ART 233,Drawing I,,4.00 cr.,,10621,1,16,1200-1450,mw,141 LA,Schauer J,$ABM
CRWR 230,Intro to Poetry Writ,,4.00 cr.,,11732,13,26,1000-1150,tr,225 FR,tba,Ab
HPHY 409,Prac Med Term Tutor,,1.00-3.00 cr.,,12951,13,15,tba,tba,tba,Hopkins R,M
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11896,27,49,1400-1450,f,112 ESL,tba,
ANTH 342,Arch Egypt & Near East,2 IC,4.00 cr.,+ Dis,16113,9,19,1100-1150,w,204 CON,tba,
HIST 101,Western Civilization,2,4.00 cr.,+ Dis,12778,1,25,1100-1150,m,471 MCK,tba,
CFT 605,Reading,,1.00-4.00 cr.,,11240,10,10,tba,tba,tba,STAFF,M
ARTR 609,Term Creative Proj MFA,,1.00-12.00 cr.,,10818,10,10,tba,tba,tba,STAFF,$
ARCH 461,Structural Behavior,,4.00 cr.,+ Lab,10411,0,13,1800-1950,t,100 LA,tba,M
HPHY 322,Human Physiology I,,5.00 cr.,+ Lab,12897,0,24,1400-1550,r,4 SRC,tba,
BI 401,Res Develop Patterning,,1.00-16.00 cr.,,11038,10,10,tba,tba,tba,Kimmel C,
CH 401,Res In Situ Spectrosc,,1.00-16.00 cr.,,16091,0,0,tba,tba,tba,Wong C,k
BI 360,Neurobiology,,4.00 cr.,+ Dis,11018,0,28,1500-1550,f,112 HUE,tba,b
DAN 355,Dance Production II,,1.00-2.00 cr.,,11761,10,10,tba,tba,tba,tba,!
CINE 405,Reading,,1.00-4.00 cr.,,11504,20,20,tba,tba,tba,STAFF,!Mr
CIS 624,Structure Program Lang,,4.00 cr.,,11613,23,35,1400-1520,mw,251 STB,Norris B,
HUM 101,Humanities I,1,4.00 cr.,+ Dis,12996,20,25,1000-1050,f,471 MCK,Kerr J,
CIS 443,User Interfaces,,4.00 cr.,,17100,15,25,1000-1120,mw,144 HED,Hornof A,!
ACTG 352,Intermediate Actg III,,4.00 cr.,,10113,5,46,1200-1350,tr,212 LIL,Wilson R,!AMY
ART 116,Core Interdis Lab,,4.00 cr.,,10612,5,17,0800-1050,tr,188 LA,Ryan J,!$ABM
FHS 409,Prac Serv Lrng Soc Jst,,2.00 cr.,,17077,40,40,1400-1520,m,246 GER,Boulahanis K,$U
CHN 308,Lit Modern Taiwan,1 IC,4.00 cr.,,16084,20,40,1200-1320,tr,307 VOL,Groppe A,!
EC 551,Issues Labor Economics,,4.00 cr.,,11943,0,80,1600-1720,tr,240C MCK,Kuhn M,
HUM 101,Humanities I,1,4.00 cr.,+ Dis,12993,13,25,1100-1150,r,471 MCK,Kerr J,
AAA 408,Wrk Job & Intern Srch,,1.00 cr.,,17033,14,25,tba,,WEB,Grieger K,
HIST 286,Cities India & S Asia,2 IP,4.00 cr.,,16844,25,35,1000-1120,tr,189 PLC,Valiani A,
HPHY 362,Tissue Injury & Repair,,4.00 cr.,+ Lab,12923,12,22,1200-1350,r,6 SRC,tba,M
ARTC 405,Reading,,1.00-6.00 cr.,,10651,10,10,tba,tba,tba,STAFF,
ANTH 570,Stat Analy Biol Anth,,4.00 cr.,Lecture,16370,8,10,1200-1350,w,313 CON,White F,!
ARB 301,Language & Culture,1 IC,4.00 cr.,,10354,5,15,1000-1120,mwf,122 PAC,Elsherif H,!
GEOG 510,Oregon Envmtl Politics,,4.00 cr.,,16981,9,10,1200-1350,tr,206 CON,Walker P,
IARC 544,Furniture: Theo/Analy,,3.00 cr.,,13019,5,13,1400-1520,tr,206 LA,Zimmer L,!M
ACTG 211,Intro Accounting I,,4.00 cr.,,10093,29,60,0800-0950,mw,162 LIL,Stratton C,!AY
ITAL 150,Cul Legacies Italy,1 IC,4.00 cr.,+ Dis,13113,6,20,1600-1650,r,225 FR,tba,A
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10960,14,23,1400-1550,r,111 HUE,tba,a
GEOL 552,Neotec & Quatern Geol,,4.00 cr.,,16781,21,25,1400-1550,mf,202 CAS,Weldon R,
BI 214,Gen Bio IV: Mechanisms,3,4.00 cr.,+ Lab,10981,0,28,0900-1150,t,13 KLA,Kelly A,b
GEOG 323,Biogeography,3,4.00 cr.,+ Lab,12495,5,22,1400-1450,t,206 CON,tba,
EC 607,Sem Core Macro,,4.00 cr.,,11952,17,18,1400-1550,tr,410 PLC,Mc Gough B,
ENG 301,Found Eng Mjr: Context,1,4.00 cr.,+ Dis,17121,11,20,0900-0950,r,360 CON,tba,
ENG 609,Terminal Project,,1.00-16.00 cr.,,12136,5,5,tba,tba,tba,STAFF,
HPHY 409,Prac Anatomy,,1.00-5.00 cr.,,12954,5,5,tba,tba,tba,Runyeon J,!$M
GER 624,Critic & Philos Prose,,4.00 cr.,,17076,12,12,1600-1850,r,203 CON,Mathas A,
HPHY 333,Motor Control,,4.00 cr.,+ Lab,12919,0,16,1200-1350,r,075B KLA,tba,M
HPHY 212,Evid| Infer| & Biostat,,4.00 cr.,+ Dis,12872,2,20,1100-1150,t,B012 ONY,tba,B
ENG 225,Age of King Arthur,1,4.00 cr.,,16971,0,7,0830-0950,mw,260 CON,Laskaya A,
BI 607,Sem Dev Biol Jour Club,,1.00 cr.,,11182,30,30,1400-1450,m,225 SGR,Herman T,
ES 101,Intro Ethnic Studies,2 AC,4.00 cr.,+ Dis,16673,24,25,1700-1750,f,240B MCK,Golter S,
GEOG 142,Human Geography,2 IC,4.00 cr.,+ Dis,12474,22,23,1500-1550,w,106 CON,tba,
ANTH 162,Intro to Medical Anth,2 IC,4.00 cr.,Lecture,16931,14,60,1600-1720,mw,282 LIL,Venkat B,
AAA 401,Research,,1.00-3.00 cr.,,10020,10,10,tba,tba,tba,STAFF,
ANTH 173,Evol Human Sexuality,3 IP,4.00 cr.,,10243,0,65,tba,,WEB,tba,
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12155,13,22,1000-1050,f,142 COL,tba,A
CPSY 607,Sem Obs Fam Research,,2.00 cr.,,11694,10,10,1400-1550,f,271 HED,Skowron E,
CIS 603,Dissertation,,1.00-16.00 cr.,,11603,15,15,tba,tba,tba,STAFF,
INTL 534,Lang Iss Intl Studies,,4.00 cr.,,16541,8,10,1000-1150,tr,106 DEA,Carpenter K,
FIN 609,Prac Emerging Mkt Fund,,2.00 cr.,,12384,0,10,1600-1750,t,255 LIL,Chalmers J,M
HIST 608,Coll Native Am to 1800,,5.00 cr.,,16397,12,12,1500-1750,w,375 MCK,tba,
BI 401,Res DNA Repair,,1.00-16.00 cr.,,11072,10,10,tba,tba,tba,Libuda D,
AAA 196,Field Studies,,1.00-2.00 cr.,,10019,10,10,tba,tba,tba,STAFF,
HPHY 409,Prac Phys Lab Teach,,1.00-5.00 cr.,,12945,20,25,tba,,,tba,M
CDS 611,Clinical Methods,,1.00 cr.,,11229,30,30,0900-1650,mtwr9/19-9/22,142 HED,Meyer J,!PV
BI 407,Sem Dev/Gen Zebrafish,,1.00 cr.,,11091,25,25,0900-0950,m,317 HUE,Guillemin K,
IST 601,Research,,1.00-9.00 cr.,,13097,10,10,tba,tba,tba,STAFF,
HPHY 212,Evid| Infer| & Biostat,,4.00 cr.,Lecture,12866,30,160,1600-1720,mw,182 LIL,Matern P,B
CIS 322,Intro Software Engin,,4.00 cr.,+ Lab,17131,16,25,1400-1450,r,100 DES,tba,
BI 409,Practicum,,1.00-6.00 cr.,,11095,10,10,tba,,OIMB,STAFF,
EDST 111,Educ Iss & Problems,2,4.00 cr.,+ Dis,11991,21,25,1000-1050,f,125 LLCN,McGregor K,L
ANTH 270,Intro Biological Anth,3,4.00 cr.,+ Lab,10269,0,20,1100-1150,t,368 CON,tba,
CH 111,Intro Chem Principles,3,4.00 cr.,,11254,170,203,1200-1320,mw,123 PAC,Baldock B,!
ARH 605,Reading,,1.00-5.00 cr.,,10596,20,20,tba,tba,tba,STAFF,
CH 221,General Chemistry,3,4.00 cr.,,11263,143,240,1000-1050,twrf,150 COL,Exton D,!YaU
GEOG 631,Progress Physical Geog,,1.00 cr.,,12560,10,10,tba,tba,tba,Fonstad M,M
ARTF 604,Internship,,1.00-12.00 cr.,,10727,10,10,tba,tba,tba,STAFF,
EC 202,Intro Econ Analy Macro,2,4.00 cr.,Lecture,11890,112,244,1600-1720,tr,156 STB,Falconer J,G
CLAS 503,Thesis,,1.00-16.00 cr.,,11632,10,10,tba,tba,tba,STAFF,!
ENG 586,New Med & Digital Cul,,4.00 cr.,,12126,0,34,1200-1320,tr,191 ANS,Kaufman H,pM
AA 404,Intern White Box,,1.00-6.00 cr.,,10011,5,5,tba,tba,tba,STAFF,a
INTL 405,Reading,,1.00-12.00 cr.,,13075,10,10,tba,tba,tba,STAFF,
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12149,6,22,0900-0950,r,45 COL,tba,A
FR 331,French Theater,1,4.00 cr.,,16017,14,20,1600-1720,tr,199 ESL,Albert-Galtier A,!A
CPSY 609,Prac Adults,,4.00 cr.,,11696,4,10,1600-1720,r,272 HED,Chronister K,!$M
FLR 609,Terminal Project,,1.00-9.00 cr.,,12415,10,10,tba,tba,tba,STAFF,
CPSY 410,Intro Prevention Sci,,2.00 cr.,,11678,22,30,1400-1550,m,176 ED,Shetty A,
DAN 605,Reading,,1.00-16.00 cr.,,11805,5,5,tba,tba,tba,STAFF,
ARH 605,Reading,,1.00-5.00 cr.,,10592,19,20,tba,tba,tba,STAFF,
GEOG 409,Practicum,,1.00-21.00 cr.,,12508,10,10,tba,tba,tba,STAFF,
GEOG 142,Human Geography,2 IC,4.00 cr.,+ Dis,12476,17,23,1300-1350,r,106 CON,tba,
ARCH 606,Sp Pr Portland,,1.00-6.00 cr.,,10511,20,20,tba,tba,tba,STAFF,p
BI 213,Gen Biol III: Populat,3,4.00 cr.,+ Lab,10977,1,18,1200-1350,r,112 HUE,Wetherwax P,a
EC 511,Adv Micro Theory,,4.00 cr.,,11940,25,30,0800-0950,mw,105 ESL,van den Nouweland A,
FIN 403,Thesis,,1.00-12.00 cr.,,12365,20,20,tba,tba,tba,STAFF,
AAD 616,Arts Mktg Media Comm I,,4.00 cr.,,16763,30,30,1800-1950,tr,283M LA,Schiff E,!M
ARCH 201,Intro to Architecture,,4.00 cr.,,10359,179,213,0900-0950,mwf,177 LA,Givens J,U
EC 602,Superv College Teach,,1.00-5.00 cr.,,11948,35,35,tba,tba,tba,Kolpin V,
GEOL 110,People| Rocks| & Fire,3,4.00 cr.,Lecture,15995,32,80,1000-1120,mw,229 MCK,Rempel A,
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,Lecture,12148,188,270,1400-1520,mw,180 PLC,Martin G,AU
ACTG 409,Practicum,,1.00-3.00 cr.,,10118,20,20,tba,tba,tba,STAFF,
ES 550,Race and Incarceration,,4.00 cr.,,16901,2,5,1600-1720,tr,276 ED,Hames-Garcia M,
AFR 606,Field Studies,,1.00-4.00 cr.,,16818,5,5,tba,tba,tba,STAFF,d
EDST 457,Eq Opp: Imm & Diaspora,,3.00 cr.,,12008,0,25,1200-1320,tr,112 ESL,Raza N,!Mh
FR 605,Reading,,1.00-6.00 cr.,,12458,9,10,tba,tba,tba,STAFF,A
AAA 508,Wrk Creative Entrepren,,1.00 cr.,,17038,24,25,tba,,WEB,Dellabough K,
ARH 507,Sem Style,,4.00 cr.,,16938,10,10,1400-1650,w,241 LA,Cheng J,
ARCH 584,Arch Design,,6.00 cr.,,10494,17,17,1300-1650,mwf,TBA,tba,!$M
GEOL 540,Sedimen Basin Analy,,4.00 cr.,,16057,16,18,1000-1120,tr,254 COL,Dorsey R,
BA 240,Managing Business Info,,4.00 cr.,+ Lab,10884,0,55,1300-1350,f,225 CHI,tba,AY
